"Date","Android","iOS","Series 40","SymbianOS","Unknown","Samsung","BlackBerry OS","Windows","Nokia Unknown","Sony Ericsson","Linux","KaiOS","bada","Tizen","LG","Playstation","Firefox OS","MeeGo","Nintendo 3DS","Other"
2009-01,0.66,35.56,0,39.31,14.73,0,0.95,2.55,0,0,1.24,0,0,0,0,4.33,0,0,0,0.67
2009-02,2.06,36.43,0,37.04,11.87,0,5.57,2.47,0,0,0,0,0,0,0,3.58,0,0,0,0.99
2009-03,2.18,39.6,0,35.12,11.29,0,5.97,1.98,0,0,0,0,0,0,0,3.18,0,0,0,0.66
2009-04,2.02,41.91,0,34.25,10.2,0,6.39,1.75,0,0,0,0,0,0,0,2.85,0,0,0,0.65
2009-05,1.86,37.32,0,39.11,9.88,0,6.92,1.61,0,0,0,0,0,0,0,2.68,0,0,0,0.62
2009-06,0.13,35.81,0,40.61,10.61,0,7.91,1.6,0,0,0,0,0,0,0,2.75,0,0,0,0.59
2009-07,2.21,34.2,0,24.06,23.63,0.45,8.55,1.61,0,1.87,0,0,0,0,0.06,2.59,0,0,0,0.77
2009-08,2.28,33.91,0,34.06,6.14,1.76,8.86,2.21,0,6.93,0,0,0,0,0.34,2.15,0,0,0,1.37
2009-09,2.32,31.13,0,36.29,7.12,1.94,8.92,2.1,0,6.79,0,0,0,0,0.34,1.74,0,0,0,1.31
2009-10,2.56,30.5,0,38.17,6.23,1.88,9.16,1.66,0,6.72,0,0,0,0,0.28,1.55,0,0,0,1.3
2009-11,3.31,31.56,0,36.17,5.93,1.85,9.73,1.38,0,7.03,0,0,0,0,0.28,1.58,0,0,0,1.18
2009-12,4.07,32.05,0,35.05,6.05,1.81,9.69,1.17,0,7.12,0,0,0,0,0.27,1.55,0,0,0,1.15
2010-01,4.54,33.13,0,34.16,5.76,1.69,10.28,0.99,0,6.89,0,0,0,0,0.25,1.2,0,0,0,1.1
2010-02,5.35,33.92,0,32.71,5.46,1.69,11.13,0.85,0,6.38,0,0,0,0,0.24,1.11,0,0,0,1.15
2010-03,5.9,30.13,0,34.51,5.71,1.69,12.73,0.76,0,6.21,0,0,0,0,0.22,1.1,0,0,0,1.02
2010-04,5.58,29.38,0,33.54,6.68,2.02,14.06,0.52,0,6.02,0,0,0,0,0.17,1.16,0,0,0,0.88
2010-05,3.94,29.01,0,32.92,9.09,2.86,14.15,0.2,0,5.9,0,0,0,0,0.07,1.02,0,0,0,0.84
2010-06,3.95,26.66,0,33.39,9.81,3.34,14.98,0.17,0,5.79,0,0,0,0,0.07,1.02,0,0,0,0.82
2010-07,7.91,26.05,0,32.04,6.77,2.93,16.45,0.4,0,5.47,0,0,0,0,0.15,0.92,0,0,0,0.91
2010-08,9.22,25.71,0,31.54,6.16,2.85,16.95,0.4,0,5.43,0,0,0,0,0.16,0.7,0,0,0,0.87
2010-09,9.79,22.85,0,32.69,6.59,2.96,17.9,0.36,0,5.61,0,0,0,0,0.13,0.46,0,0,0,0.67
2010-10,10.67,22.45,0,32.83,5.91,2.83,18.19,0.5,0,5.54,0,0,0,0,0.12,0.4,0,0,0,0.57
2010-11,11.61,21.94,0,31.93,5.32,3.49,19.25,0.44,0,4.9,0,0,0,0,0.12,0.37,0,0,0,0.63
2010-12,13.6,23.57,0,29.66,5.13,4.05,18.04,0.4,0,4.32,0,0,0,0,0.12,0.42,0,0,0,0.68
2011-01,14.61,25.02,0,30.25,5.21,4.33,15.03,0.52,0,3.91,0,0,0,0,0.12,0.39,0,0,0,0.63
2011-02,15.16,24.56,0,30.66,5.14,4.51,14.52,0.61,0,3.86,0,0,0,0,0.11,0.34,0,0,0,0.53
2011-03,15.8,24.38,0,30.61,5.1,4.73,14.1,0.6,0,3.75,0,0,0,0,0.11,0.32,0,0,0,0.5
2011-04,16.05,23.34,0,31.56,5.28,4.99,13.54,0.58,0,3.66,0,0,0.12,0,0.1,0.31,0,0,0,0.45
2011-05,17.63,22.09,0,31.36,5.77,5.08,12.94,0.54,0,3.46,0,0,0.37,0,0.1,0.28,0,0,0,0.38
2011-06,17.92,20.04,0,33.58,5.91,5.64,12.15,0.49,0,3.19,0,0,0.39,0,0.1,0.26,0,0,0,0.33
2011-07,18.93,20.03,0,32.45,5.88,5.76,12.48,0.49,0,2.97,0,0,0.39,0,0.09,0.24,0,0,0,0.3
2011-08,20.6,19.41,0,32.12,5.72,6.04,11.84,0.49,0,2.7,0,0,0.45,0,0.09,0.26,0,0,0,0.28
2011-09,20.9,21.21,0,31.83,5.9,5.6,10.72,0.52,0,2.26,0,0,0.47,0,0.08,0.25,0,0,0,0.26
2011-10,22.11,23.48,0,29.84,6.01,5.22,9.49,0.59,0,2.04,0.07,0,0.48,0,0.08,0.29,0,0,0,0.32
2011-11,21.9,24.21,0,30.95,5.29,5.43,8.44,0.58,0,1.93,0.1,0,0.51,0,0.08,0.27,0,0.01,0,0.29
2011-12,21.83,22.71,0,33.46,4.76,5.61,7.78,0.56,0,2,0.1,0,0.5,0,0.08,0.27,0,0.02,0.06,0.27
2012-01,23.21,24.04,0,31.89,4.45,5.84,6.94,0.58,0,1.75,0.11,0,0.52,0,0.07,0.23,0,0.02,0.13,0.23
2012-02,24.76,25.49,0,30.19,4.37,5.06,6.76,0.63,0,1.55,0.1,0,0.52,0,0.06,0.18,0,0.03,0.1,0.21
2012-03,23.61,23.99,0,31.48,4.78,6.05,6.43,0.66,0,1.62,0.11,0,0.64,0,0.07,0.2,0,0.03,0.12,0.21
